sentence,tag,sentiment_label
Aggreko says first half profits will be lower as the oil price rout claims its latest victim,-0.546,negative
"Industry NewsRevenue, earnings take a tumble at Weir Group",-0.627,negative
"Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...",-0.6000000000000001,negative
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,0.5710000000000001,positive
"Britain's FTSE hits three-week low as financials, Tesco fall",-0.6910000000000001,negative
Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks,0.833,positive
Questor share tip: Mondi shares jump 10pc on strong start,0.789,positive
"Rio Tinto swings to loss, drops dividend policy",-0.511,negative
Shares in easyJet fall to three-year low after Brexit profit warning,-0.804,negative
Standard Chartered to slash costs as profits plunge 25%,-0.78,negative
Buffett's Berkshire delivers 9.8% profit growth,0.668,positive
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,0.724,positive
HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million,-0.756,negative
Earnings surge as fund manager Schroders reports a record year,0.942,positive
StanLife leads FTSE after strong earnings,0.8150000000000001,positive
"UK government sells more Lloyds shares, cuts stake to below 12 percent",-0.532,negative
Two former Barclays traders face retrial over Libor,-0.743,negative
"Glencore swings to loss, will sell more assets",-0.5650000000000001,negative
Clydesdale Bank hit with record PPI fine for 'unacceptable' staff lies,-0.707,negative
UK's FTSE climbs to record closing high as Standard Chartered surges,0.763,positive
ARM Royalties Accelerate as Smartphone Market Regains Strength,0.5710000000000001,positive
Shell fined by Scottish court for 2011 North Sea oil spill,-0.6930000000000001,negative
Standard Life shuts Â£2.9bn property fund after investors rush to withdraw money post-Brexit,-0.706,negative
Industry NewsWhitbread sales sink in fourth quarter on Costa slowdown,-0.562,negative
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",-0.647,negative
Warren Buffett's Berkshire Hathaway buys stake in Apple,0.989,positive
CommentOpening Quote: pay day moans; profits slump for Lloyds; Mars mission,-0.512,negative
"Britain's FTSE buoyed by Admiral, building sector gains",0.669,positive
FTSE edges up as investors cheer Kingfisher results,0.678,positive
HSBC chief hit with tax-avoidance scandal,-0.528,negative
BUZZ-BG Group: outperforms sector after record output,0.853,positive
Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle,0.652,positive
Old Mutual share price: Wealth unit seen as blue-chip company,0.666,positive
Smith & Nephew 2015 trading profit beats expectations,0.5650000000000001,positive
Closely watched AstraZeneca cancer drug fails in mesothelioma,-0.5680000000000001,negative
Glencore slumps 25 pct as debt fears grow,-0.718,negative
BP agrees to $18.7B penalty for oil spill; the tricky science behind ...,-0.8300000000000001,negative
Compass Group says positive for year ahead,0.634,positive
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,0.777,positive
BAE Systems cuts earnings target for 2015 and 370 jobs,-0.631,negative
Morrisons and Debenhams surprise City with Christmas bounce back,0.5730000000000001,positive
National Grid's pretax profit rises 15 percent,0.727,positive
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",-0.736,negative
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",-0.508,negative
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0.641,positive
Prudential knocked after investors withdraw Â£3.9bn from M&G,-0.778,negative
US dollar wipes out sales gains for SABMiller,-0.582,negative
London Stock Exchange Group's quarterly revenue rises 12 percent,0.726,positive
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,-0.713,negative
Dixons Carphone Profit Beats Forecast in First Year Since Merger,0.5690000000000001,positive
Former Schroders trader sentenced to 2 years in prison,-0.555,negative
Barclays hit with record fine as six banks settle forex scandal,-0.771,negative
UK Serious Fraud Office Seeks Retrial of Two Former Barclays Libor Traders,-0.604,negative
GlaxoSmithKline hails progress with lung disease treatment,0.578,positive
Tesco Sales Deteriorate Ahead of Crucial Christmas Period,-0.552,negative
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",-0.896,negative
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,0.769,positive
Experian says receives class actions related to T-Mobile breach,-0.6980000000000001,negative
"FTSE 100 moves lower, but HSBC outperforms",0.513,positive
Meggitt share price tumbles as profit falls in 'challenging year',-0.854,negative
Government to sell off remaining 14% stake in Royal Mail,-0.607,negative
"Britain's FTSE rises, led up by Glencore surge",0.62,positive
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,0.6890000000000001,positive
"Five years after BP oil spill, some Gulf oystermen are losing hope",-0.514,negative
Persimmon sells 17% more houses in 2014,0.6890000000000001,positive
ITV strike: Broadcaster's revenue soars but staff walkout for a piece of the action,0.537,positive
Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle,0.58,positive
RBS becomes a shadow of its former self,-0.808,negative
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,0.583,positive
Admiral and Schroders lift FTSE with profits surge,0.7010000000000001,positive
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",0.544,positive
MarketsMoneysupermarket slides 11% on Barclays Brexit warning,-0.625,negative
FTSE boosted by Dixons Carphone with Fed in focus,0.522,positive
Standard Life impresses as fee-based products offset annuities slump,0.552,positive
AstraZeneca chases Acerta to secure next cancer drug winner,0.776,positive
Payout from BP oil spill settlement tops $5 billion,-0.639,negative
Sainsbury's and Glencore give FTSE a three-digit lift - London Report,0.8140000000000001,positive
BHP Billiton drags FTSE lower after slashing dividend,-0.604,negative
British taxpayers' stake in Lloyds falls below 22 percent,-0.537,negative
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",0.674,positive
Morrisons and Debenhams surprise City with Christmas bounce back,0.619,positive
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.577,positive
Tesco share price down as grocer faces SFO investigation outcome,-0.542,negative
CompaniesTesco sends supermarket shares to top of FTSE,0.583,positive
Intertek profit up 16.1%; expects to meet forecast,0.66,positive
AstraZeneca to Buy ZS Pharma for $2.7 Billion,0.551,positive
BT Group's third quarter revenues rise as restructure unveiled,0.5640000000000001,positive
AstraZeneca's patent on asthma drug invalidated by US court,-0.656,negative
Weir leads FTSE lower after oil price profits warning,-0.59,negative
Barclays fined for anti-money-laundering failings,-0.811,negative
Sports Direct Shares Tumble as Founder Ashley Sells Shares,-0.596,negative
Barclays reports 8% fall in annual profits,-0.724,negative
Chipotle Sales Plunge as Troubled Chain Gets Federal Subpoena,-0.789,negative
Tesco share price jumps as Q3 sales top estimates,0.719,positive
"HSBC, Standard Chartered Lead Asia Bank Rout as U.K. Votes 'Out'",-0.536,negative
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,-0.812,negative
CompaniesSmith & Nephew flops 6.8% to foot of FTSE 100,-0.666,negative
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,-0.5660000000000001,negative
BP Judge Urged to Impose $11.7 Billion-Plus Spill Fine,-0.588,negative
RBI surprises Street; Sensex pares gains after hitting mount 30k,0.89,positive
UPDATE 3-Barclays fined for lax crime checks in 'deal of century',-0.8290000000000001,negative
Prudential hit by withdrawals from M&G investment arm,-0.704,negative
Lloyds to cut 945 jobs as part of three-year restructuring strategy,-0.532,negative
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,-0.719,negative
Hargreaves weathers torrid ISA season and Brexit fears,-0.6000000000000001,negative
"Britain's FTSE gains, Land Securities up after dividend hike",0.549,positive
Industry NewsPetrofac secures $250m North Sea contract,0.581,positive
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,0.556,positive
BP's fine for 2010 oil spill capped at $13.7 billion,-0.896,negative
Oilfield services firm Petrofac's debt shoots up 50 per cent,-0.72,negative
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,0.516,positive
FTSE 100 movers: BG Group leads the charge as resource stocks jump,0.642,positive
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",-0.661,negative
Early victory for new CEO as Morrisons beats forecasts,0.753,positive
Primark racks up a happy Christmas after strong sales,0.704,positive
New York says Barclays not cooperating in 'dark pool' probe,-0.599,negative
Sainsbury's and Glencore give FTSE a three-digit lift - London Report,0.719,positive
Dixons Carphone says cyber attack may have exposed customers' data,-0.6890000000000001,negative
AstraZeneca's Good Deal Turns Bad,-0.51,negative
BP shares tumble after $2.2bn fourth-quarter loss,-0.927,negative
Berkshire Hathaway's 4Q profit declines 17 percent,-0.724,negative
Ex-Barclays traders sentenced to up to six years' jail in Libor case,-0.805,negative
Shell's profits hit by further slide in oil prices,-0.75,negative
"Britain's FTSE steadies below record high, BHP gains",0.512,positive
Barclays in $13.75 million US settlement over mutual funds,-0.5740000000000001,negative
Shell profit rises as company resist oil slump,0.558,positive
Tesco shares jump 6% after Christmas sales beat expectations,0.8140000000000001,positive
Standard Chartered faces fresh claims of Iran sanctions violations,-0.51,negative
"European stocks hover near 3-week low, Dialog and BHP slump",-0.584,negative
Admiral Group posts decline in 2014 earnings,-0.594,negative
"Britain's FTSE bounces back, Mondi and Barratt lead",0.552,positive
UK chip designer ARM hits a high after iPhone 6 boost,0.601,positive
Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,-0.553,negative
CORRECTED-Shire to buy Dyax for about $5.9 bln,0.62,positive
BP set to cut hundreds of jobs at North Sea operations,-0.667,negative
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",-0.739,negative
Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field,-0.734,negative
Industry NewsWood Group wins multi-million dollar contract with BP,0.588,positive
"Buffett's Berkshire builds Deere stake, dumps Exxon",-0.548,negative
Analysis - Copper market may get a 2003-style supply shock from Glencore closures,-0.605,negative
UPDATE 3-Barclays sells Italian branches to Mediobanca at a loss,-0.637,negative
Experian says receives class actions related to T-Mobile breach,-0.6980000000000001,negative
Market Report: Aviva tops the market as traders approve of its choice of Friends,0.601,positive
IAG closes in on Aer Lingus with increased offer,0.596,positive
Why I Would Put J Sainsbury plc In My Trolley Before Wm Morrison Supermarkets ...,-0.579,negative
Glaxo Sees Hope for Respiratory Drugs as Earnings Beat Estimates,0.534,positive
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,0.551,positive
StanChart and RBS struggle in Bank of England stress tests,-0.738,negative
Priceline's stock jumps to new high for the year after Barclays upgrade,0.847,positive
Profits Fall 25% At Standard Chartered PLC: Should You Buy Or Sell?,-0.649,negative
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,-0.675,negative
British American Tobacco accused of bribing senior politicians to sabotage ...,-0.794,negative
Hargreaves Lansdown share price falls as costs mount - although pensions ...,-0.514,negative
AstraZeneca heart drug boosted by major clinical trial success,0.5720000000000001,positive
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0.502,positive
CompaniesGlencore's annual results beat forecasts,0.792,positive
Warren Buffett's Berkshire Hathaway quarterly profit jumps almost one third,0.667,positive
Sainsbury's says to outperform rivals in tough market,0.536,positive
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",-0.657,negative
Copper Prices up on Glencore Cuts to Zinc Supply,0.541,positive
Meggitt plc Crashes 20% On Profit Warning: Is It Now A Buy?,-0.775,negative
UK government cuts stake in Lloyds to below 11 pct,-0.596,negative
"Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...",-0.6000000000000001,negative
Prudential Financial quarterly profit rises 64 pct,0.95,positive
Four ex-Barclays bankers sentenced for roles in Libor rate-rigging scandal,-0.539,negative
Kingfisher share price slides on cost to implement new strategy,-0.786,negative
