sentence,tag
"Tesco, Asda sales fall as march of the discounters continues: Kantar",-0.398
"METALS-Zinc soars 10 pct, fuelling metals surge after Glencore cuts output",0.253
BP cuts capex for third time this year to deal with weak oil,-0.268
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,0.395
Sainsbury chief warns of squeeze on high street retailers,-0.397
US sanctions put Gazprom-Shell alliance plans in jeopardy,-0.314
UPDATE 6-Royal Dutch Shell pulls plug on Arctic exploration,-0.40700000000000003
AB InBev to Sell SABMiller Stake in China's Snow Beer,0.004
Persimmon share price climbs on 23% rise in full-year revenue,0.975
Royal Mail hands chief executive Moya Greene a 13% rise in her pay package,0.053
Travis Perkins to create 4000 jobs,0.53
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,-0.41500000000000004
Britain cuts Lloyds Banking Group stake to below 17 pct,-0.317
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,0.543
BP Reports $583 Million Loss in First Quarter,-0.741
"Britain's FTSE led lower by ITV, William Hill",-0.637
Barclays set to name former JPMorgan banker Staley as new CEO,0.0
Friday Papers: Sir Philip Green sells BHS for Â£1,0.157
"Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo",0.25
Spain's CaixaBank Expects To Close Deal For Banco BPI,0.375
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,0.214
Persimmon revenues lifted 12% by post-election confidence,0.384
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,0.163
US urges final approval of $20 billion BP oil spill pact,-0.355
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,0.23700000000000002
UPDATE 1-GSK-linked investigator freed early from China jail - source,0.2
"FTSE hits three-week low as financials, Tesco fall",-0.612
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,-0.47300000000000003
Weir Group offloads two renewables units,0.09
Aggreko says first half profits will be lower as the oil price rout claims its latest victim,-0.546
"Industry NewsRevenue, earnings take a tumble at Weir Group",-0.627
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",0.461
"Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...",-0.6000000000000001
London stock exchange shareholders vote on merger deal under Brexit cloud,-0.359
"UPDATE: AstraZeneca's Selumetinib Gets Orphan Drug Label, Good AZD9291 ...",0.289
Intercontinental Exchange Opts Not to Bid for London Stock Exchange,-0.127
Dave Lewis paid Â£4.1m for first 6 months at Tesco,-0.15
Weir Group says first-half profits will be 'slightly ahead' of expectations,0.323
Glencore Sells $2.5 Billion Stake in Agriculture Unit,0.259
AstraZeneca : FDA Panel Reviews Savor Study Results For Onglyza ...,0.075
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,0.5710000000000001
"Britain's FTSE hits three-week low as financials, Tesco fall",-0.6910000000000001
Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks,0.833
"3G Capital, Warren Buffett's Favorite Partner in Deals Worth Billions",0.247
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,-0.34500000000000003
GKN to buy Fokker Technologies for 706 mln euros,0.276
Questor share tip: Mondi shares jump 10pc on strong start,0.789
"Berkshire discloses unit's ties to Iran, opens probe",-0.28800000000000003
"Rio Tinto swings to loss, drops dividend policy",-0.511
Rio Tinto Reaffirms Goal for Iron Ore Output,0.309
Shares in easyJet fall to three-year low after Brexit profit warning,-0.804
Shire share price: Group releases full-year results,0.4
AstraZeneca share price: Company to carve out antibiotic R&D unit into separate ...,0.219
Ex-Barclays Trader Johnson Pleaded Guilty to Libor Fixing,-0.426
SABMiller buys Meantime to quench thirst for craft beer,0.41500000000000004
Standard Chartered to slash costs as profits plunge 25%,-0.78
Buffett's Berkshire delivers 9.8% profit growth,0.668
"Rio Tinto CEO Sam Walsh rejects fears over China growth, demand",0.114
CompaniesShell sells stake in Showa Shell Sekiyu for $1.4bn,-0.036000000000000004
Reed Elsevier to rename itself RELX Group,0.0
Sotheby's chairman takes his final sale,-0.06
Insight hires Aviva's David Hillier for multi-asset team,0.137
Shell offers 50 percent premium to buy BG for $70 billion,0.393
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,0.217
AB InBev to sell Peroni and Grolsch,0.256
Unilever posts weaker-than-expected fourth quarter,-0.373
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-0.161
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,0.724
Entertainment One dispels ITV takeover rumours,0.003
NYSE owner ICE considers offer for LSE,0.396
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,0.276
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",0.262
"HSBC Preparing Job Cuts That May Target 20000 Workers, Sky Says",-0.5
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.388
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",0.195
RBS bosses ordered to go out and meet small firms,0.1
AB InBev offers to sell some SABMiller brands,0.20700000000000002
RPT-UK supermarkets braced for battle as Tesco comes out fighting,0.155
"UPDATE 1-Glencore flags sale of some Australia, Chile assets",0.166
Barclays says not been offered deferred prosecution deal by SFO,0.1
Aviva promises higher dividends to boost flagging share price,0.281
Brewer AB InBev seeks $275 bln tie-up with SABMiller,0.278
Intercontinental Exchange Opts Not to Bid for London Stock Exchange,-0.303
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",-0.26
HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million,-0.756
Earnings surge as fund manager Schroders reports a record year,0.9420000000000001
Eurocrat left best-placed to unravel London Stock Exchange deal,-0.352
Lawmakers worry AB InBev beer deal will hurt craft brewers,-0.033
StanLife leads FTSE after strong earnings,0.8150000000000001
Lloyds Banking Group eyes return to dealmaking with MBNA bid,0.365
Anheuser-Busch InBev Increases Offer for Rival SABMiller,0.24
"UK government sells more Lloyds shares, cuts stake to below 12 percent",-0.532
