title,sentence,date
Lawsuit: Investors Can't Prove Ripple Knew XRP Had ‘No Utility’,"Lawyers for Brad Garlinghouse haven’t argued the Ripple CEO’s statements in extolling XRP were true, simply that they can’t be proven false.",2020-07-31
XRP Is Up 30% and Has 30 New Whales,Thirty new whales are gobbling up XRP in a sign some big investors are rethinking the cryptocurrency.,2020-07-31
Australian Watchdog Issues Warning on Fake Celebrity-Endorsed Crypto Ads,The ASIC has received numerous reports on fake crypto trading robots and other schemes used to scam Australians.,2020-07-30
"Price Analysis 7/29: BTC, ETH, XRP, BCH, BSV, ADA, LTC, CRO, BNB, EOS",Bitcoin and most altcoins could consolidate for a couple of days before resuming their uptrend.,2020-07-30
Can XRP Price Follow Bitcoin and Hit $0.30? Watch These Key Levels,XRP price may see a surge to $0.30 if these key resistance levels and Bitcoin price remains relatively stable in the near term.,2020-07-29
"Price Analysis 7/27: BTC, ETH, XRP, BCH, BSV, ADA, LTC, CRO, BNB, EOS","Bitcoin has made a decisive move above $10,500, which is likely to boost sentiment and pull several altcoins higher.",2020-07-28
"Price Analysis 7/24: BTC, ETH, XRP, BCH, BSV, ADA, LTC, BNB, CRO, LINK","Ethereum price looks to make a new 2020 high as Bitcoin bulls fight to hold BTC price above $9,600.",2020-07-25
"Price Analysis 7/22: BTC, ETH, XRP, BCH, BSV, ADA, LTC, CRO, LINK, BNB",Many altcoins could pick up momentum If Bitcoin and Ethereum break above key resistance levels in the coming days.,2020-07-23
"Price Analysis 7/20: BTC, ETH, XRP, BCH, BSV, ADA, LTC, BNB, LINK, CRO",Most major altcoins have witnessed profit booking as traders become cautious about the future of Bitcoin’s price.,2020-07-21
"Price Analysis 7/17: BTC, ETH, XRP, BCH, ADA, BSV, LINK, LTC, BNB, CRO","Bitcoin and a few altcoins are showing signs of weakness, which could result in a minor dip in the next few days.",2020-07-18
Cardano’s ADA Price Continues Upward Push as Goguen Upgrade Approaches,"ADA’s price has rallied on the base of Shelley and “smarter contracts,” but mainstream adoption is still a faraway goal.",2020-07-16
"Price Analysis 7/15: BTC, ETH, XRP, BCH, ADA, BSV, LINK, LTC, BNB, CRO","Select altcoins are showing strength and if Bitcoin price perks up a fast paced, market-wide rally could occur.",2020-07-16
"Price Analysis 7/13: BTC, ETH, XRP, BCH, ADA, BSV, BNB, LTC, CRO, LINK",Equities markets are surging and many altcoins continue to push higher as Bitcoin price consolidates into a tight trading range.,2020-07-14
New ‘Altseason’ Visualized: Top 10 Cryptos Outperforming Bitcoin,These are the alternative crypto assets that have outperformed the rest of the market including Bitcoin in the past week as the DeFi craze gains steam.,2020-07-11
"Price Analysis 7/10: BTC, ETH, XRP, BCH, BSV, ADA, LTC, BNB, CRO, EOS","As Bitcoin corrected on July 9, altcoin prices dropped but many are holding above their support levels, suggesting the uptrend will resume.",2020-07-11
One of Ripple’s Co-Founders Is Spending a Fortune Installing Cameras in San Francisco,Chris Larsen funded a massive surveillance camera network across San Francisco’s streets as an “alternative” urban security system.,2020-07-11
Santander Adds Several Available Regions For App in Partnership With Ripple,Massive retail bank Santander recently broadened compatible regions for its One Pay FX app in collaboration with Ripple.,2020-07-10
Bitso Hits 1M Users as Crypto Adoption Spikes in Latin America,Ripple and Coinbase-backed cryptocurrency exchange Bitso has topped Argentina’s crypto market in the six months after launch.,2020-07-09
"Price Analysis 7/8: BTC, ETH, XRP, BCH, BSV, ADA, LTC, BNB, CRO, EOS","Bitcoin is range-bound but altcoins are rallying, indicating increasing interest among traders looking to make sizable gains off altcoins.",2020-07-09
"Price Analysis 7/6: BTC, ETH, XRP, BCH, BSV, LTC, ADA, BNB, CRO, EOS",Bitcoin and altcoins pushed higher today and many are showing signs of a possible trend reversal.,2020-07-07
"Price Analysis 7/3: BTC, ETH, XRP, BCH, BSV, LTC, ADA, BNB, EOS. CRO","Bitcoin and many altcoins are struggling to rise above the 20-day EMA, suggesting bears have the advantage in the short-term.",2020-07-04
Ripple Likely Sold XRP in an Unregistered Securities Offering,The former CFTC chair’s analysis stating that Ripple’s XRP is not a security might be wrong.,2020-07-03
"SBI Invests $30M in B2C2, Largest Proclaimed Market Maker in XRP",SBI invests $30 million in major crypto liquidity startup soon after revealing Japan’s first digital fund comprising 50% XRP.,2020-07-02
"Price Analysis 7/1: BTC, ETH, XRP, BCH, BSV, LTC, BNB, ADA, CRO, EOS","Bitcoin and a few altcoins have bounced off their recent lows, suggesting that the sentiment remains to buy the dips.",2020-07-02
XRP Price Can Outperform Bitcoin in the Short Term — Here’s Why,"As Bitcoin's price continues to range sideways, the momentum may be shifting to XRP for the next big move.",2020-07-01
"Price Analysis 6/29: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, CRO, ADA","Bitcoin's price dropped below the ascending triangle trendline, suggesting further bearish price action for BTC and altcoins.",2020-06-30
Indian Banks Act Slow to Accept Crypto Industry Despite RBI’s Approval,"Indian banks are reluctant to work with crypto firms, even though RBI clears the air.",2020-06-27
"Price Analysis 6/26: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, ADA, CRO","Bitcoin price continues to lose momentum, signaling the possible start of a deeper correction below $8,200.",2020-06-27
Ripple Exec: Slow Response on Blockchain Could be ‘Potential Catastrophe’ for US,Ripple co-founder Chris Larsen discussed U.S. regulators’ ignorance towards regulating the blockchain and crypto space and how it is helping China.,2020-06-25
"Price Analysis 6/24: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, ADA, CRO","A few major cryptocurrencies are close to breaking below their critical support levels, indicating further downside in the next few days.",2020-06-25
SBI Ripple Asia CEO Expects Greater ODL Expansion Into Asia by 2021,"According to CEO Adam Traidman, SBI Ripple Asia is conducting trial and pilot projects in Asia for Ripple’s On-Demand Liquidity.",2020-06-23
"Price Analysis 6/22: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, CRO, ADA",Bitcoin is flashing some bullish signals as volatility is expected to pick up over the next few days.,2020-06-23
Can XRP Reclaim the Throne in Japan? BitBank Analyzes the Latest Data,"Yuya Hasegawa, a Market Analyst at an FSA licensed crypto exchange in Japan, analyzed whether XRP will ever reclaim its throne.",2020-06-20
Here Comes ‘Shelley’: ADA Price Excels With Cardano Upgrade Inbound,"Ever since Charles Hoskinson issued an update on “Shelley,” Cardano’s price and community have adopted a bullish mood.",2020-06-20
Blockchain Community Sounds Off in Support of Juneteenth,"The Blockchain community sounds off in support of Juneteenth, which commemorates the end of slavery in the USA.",2020-06-20
"Price Analysis 6/19: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, ADA, CRO",Most major cryptocurrencies are stuck in a range suggesting a balance between supply and demand.,2020-06-20
"Ripple, Brave and Huobi Join Instant Global Payments Network PayID","Ripple, Brave, Huobi and 40 other companies have joined the Open Payment Coalition to launch instant payment network PayID worldwide.",2020-06-19
XRP Army’s Cost Basis Per Coin Is $1.38 — 7X the Current Price,"According to Messari’s realized cap figures, XRP token holders paid an average of seven times the current price.",2020-06-19
Ripple Touts XRP Use in New Crypto Framework Suggested for India,Major cryptocurrency firm Ripple released a set of recommendations for Indian lawmakers to legalize cryptocurrencies.,2020-06-18
"Price Analysis 6/17: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, ADA, CRO",Bitcoin price is struggling to overtake $9.6K even as Federal Reserve policy appears to be driving new investors into BTC.,2020-06-18
"“XRP is Not a Security” Says Ex-CFTC Chairman, Now Paid by Ripple","Chris Giancarlo, who as CFTC chairman decreed that both Bitcoin and Ether were not securities, has argued the same for XRP. However he is now at a law firm providing counsel to Ripple, calling the impartiality of such claims into question.",2020-06-17
Phishing Sites Use Trick Letters in Domain Names to Steal XRP,Experts from Xrplorer say that a fake XRP giveaway scam emerged in January 2020 and remains alive.,2020-06-17
"Price Analysis 6/15: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, CRO, ADA",Recent surges in open interest on Bitcoin and Ethereum options contracts suggests institutional players are continuing to build positions in the top two cryptocurrencies.,2020-06-16
Ripple to Expand On-Demand Liquidity to Brazil ‘Very Soon’,"According to Ripple Head of Global Banking Marjan Delatinne, the company’s On-Demand Liquidity may soon be available in Brazil.",2020-06-15
"Price Analysis 6/10: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, ADA, XTZ",Institutional investors are showing greater interest in cryptocurrency and this could result in a sharp move within the next few days.,2020-06-11
MoneyGram Sees 100% Growth Against 2019 Usage,"MoneyGram saw a significant rise in user transaction numbers for May 2020 compared to the same period last year, coinciding with a partnership with Ripple that began last June.",2020-06-10
"Price Analysis 6/8: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, ADA, XTZ","Bitcoin price remains range-bound, but as miners sell fewer coins and the BTC reserves on the exchanges drops, a possible up move could occur in the next few days.",2020-06-09
"Price Analysis 6/5: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, ADA, XTZ",Many cryptocurrencies are showing strength by hovering close to their recent highs even as gold is selling off.,2020-06-06
Charlie Shrem's Way to Bitcoin: From Millionaire to Felon and Beyond,Charlie Shrem explains why he originally committed to crypto and how it has shaped his life.,2020-06-04
"Price Analysis 6/3: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, XTZ, ADA","As Bitcoin price consolidates and searches for support, large cap altcoins are setting up for a resumption of their uptrends.",2020-06-04
Ripple and Brazil’s Central Bank Hold Closed Meeting to Discuss ‘Institutional Matters’,"Ripple continues to expand its presence in Brazil, holding a meeting with officials at the country’s central bank.",2020-06-03
Ripple's ODL Network Records ATH for XRP/AUD on BTC Markets Exchange,"The ODL index for XRP/AUD exceeded the previous all-time high value of $15,640,530 despite the price of XRP staying relatively flat.",2020-06-02
"Price Analysis 6/1: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, XTZ, ADA","Tension between China and the U.S. is increasing and if the current trade deal is scrapped, Bitcoin could be a major beneficiary.",2020-06-02
XRP Price Must Shake 30-Month Lows Vs. Bitcoin to Start Rally,It’s high time for XRP and XLM to catch up to not only Bitcoin but also some notable altcoin counterparts such as Ether and Cardano.,2020-06-01
Hashpower Could Migrate From East to West as Global Mining Landscape Changes,"The head of Ripple SBI Asia asserts that hashpower is migrating from east to west, however, notes that significant tensions remain between Chinese and U.S. mining firms.",2020-05-31
"Price Analysis 5/29: BTC, ETH, XRP, BCH, BSV, LTC, BNB, EOS, XTZ, ADA","Many altcoins are showing significant strength as they approach their 200-day moving averages, this suggests that the sentiment in the sector remains bullish.",2020-05-30
Messari: XRP Inflation Rate Five Times Higher Than Bitcoin’s,"According to data research firm Messari, Ripple’s selloff causes inflation to hit 20% — five times that of Bitcoin, inflicting downward price pressure.",2020-05-29
