sentence,tag
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,-0.731
Glencore slumps 30 percent as debt fears grow,-0.781
Aberdeen Asset Management Gains Foothold In China,0.357
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,0.273
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",-0.597
"After Barclays and Bank of America, Citigroup has blockchain in sight",0.198
AB InBev approaches SABMiller to explore $250bn tie-up,0.237
EU regulator backs approval for GSK injectable asthma drug,0.379
Glencore fight back over debt fears lifts shares,0.278
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",0.461
Brewer AB InBev seeks $275 bln tie-up with SABMiller,0.295
AB InBev looks to win over SABMiller investors,0.276
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,0.418
Copper market may get a 2003-style supply shock from Glencore closures,-0.571
TalkTalk hires BAE Systems to investigate cyber attack,-0.113
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,0.236
CompaniesAB InBev signals it won't go hostile for SABMiller,0.107
AstraZeneca diabetes drug combination faces delay after FDA rebuff,-0.391
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,0
SABMiller revenue hit by weaker EM currencies,-0.439
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,0.172
Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,0.008
AB InBev offers SABMiller $3 billion breakup fee,0.197
GSK joins China trade push as UK trumpets healthcare deals,0.294
AB InBev ups offer for SABMiller as deadline looms,0.257
Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,0.337
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",0.162
CompaniesUnilever sales lifted by ice cream in soft economy,0.383
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,0.127
Britain's FTSE forges ahead as Shire surges,0.512
AB InBev attacks SABMiller bid rebuffal,-0.158
Anheuser-Busch InBev Increases Offer for Rival SABMiller,0.24
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,0.424
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,0.434
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,-0.227
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",0.318
SAB's Chairman Digs In With Board Divided on InBev Offer,0.016
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,0.225
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,-0.459
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,-0.812
WPP wins race for 'programmatic buying' agency Essence Digital,0.238
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,-0.637
G4S slides on balance sheet worries,-0.593
FDA approves AstraZeneca drug for advanced lung cancer,0.507
HSBC appoints business leaders to board,0.154
"HSBC shakes up board with two new business chiefs, three departures",-0.074
AstraZeneca wins FDA approval for key new lung cancer pill,0.549
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,-0.266
Standard Chartered Shifts Emerging-Markets Strategy After Losses,-0.461
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,0.393
Severn Trent share price rises as first half profit inches up as customer ...,0.526
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,0.037
Lloyds to cut 945 jobs as part of three-year restructuring strategy,-0.532
AstraZeneca to Buy ZS Pharma for $2.7 Billion,0.593
"Ackman, in email, says supports Valeant CEO Pearson",0.166
AstraZeneca sells US drug rights to Perrigo for $380 mln,0.326
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",0.468
CORRECTED-Shire to buy Dyax for about $5.9 bln,0.402
Barclays poised to replace Sir Mike Rake as he heads for exit,0.077
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,0.52
AstraZeneca shares climb 3% as drug maker ups profits forecasts,0.64
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,0.551
easyJet expects resilient demand to withstand security fears,0.165
Compass Group says positive for year ahead,0.634
US dollar wipes out sales gains for SABMiller,-0.582
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",0.043
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,0.429
Valeant CEO Pledges to Heed Critics After `Painful' Experience,-0.381
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",0.324
StanChart and RBS struggle in Bank of England stress tests,-0.738
Barclays sells benchmark indices unit to Bloomberg,0.281
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.251
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",0.276
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,0.372
Shell and BG Shareholders to Vote on Deal at End of January,0
AstraZeneca chases Acerta to secure next cancer drug winner,0.519
CompaniesTesco off to a bad start over Xmas â€“ Kantar,-0.604
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",0.31
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,0.766
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,0.818
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.623
Glencore Studies Possible IPO for Agricultural Trading Business,0.408
Can Christmas Save Sainsbury's plc And Tesco plc?,-0.175
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,0.47
Bilfinger Industrial Services win Â£100m BP contract extension,0.113
"Standard Chartered, RBS Escape Capital Raising in Stress Test",0.335
AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.284
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,0.492
L&G completes UK's largest medically underwritten bulk pension risk deal,0.25
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.437
Kingfisher share price slides on cost to implement new strategy,-0.786
Shire says internal synergy goals from Baxalta deal higher,0.287
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",-0.736
Morrisons and Debenhams surprise City with Christmas bounce back,0.573
"Britain's FTSE falls back with Ashtead, commodities under pressure",-0.59
Tesco shares jump 6% after Christmas sales beat expectations,0.814
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",0.133
CompaniesHome Retail trims gains but is considered 'in play',0.135
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.577
Investors Remain Skeptical About Shell-BG Deal,-0.266
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,0.487
Shire share price under pressure after $32bn Baxalta deal,-0.198
Valeant Names Interim Leader as CEO Remains Hospitalized,0
Valeant Said to Name New CEO With Pearson Still Hospitalized,0.015
Shares in BAE Systems hit 10-month high on rating upgrade,0.905
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0.236
CompaniesDixons Carphone to close 134 UK stores as sales jump,0.144
"Broker tips: RBS, Croda, Sage",0.381
Shell share price: Standard Life announce position against BG acquisition,-0.134
Tesco share price down as grocer faces SFO investigation outcome,-0.542
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",0.439
Greene King's third quarter sales boosted by festive season,0.363
InterContinental Hotels Group share price climbs on $1.5bn special dividend,0.631
Amazon to attack UK grocery market with Morrisons deal,0.333
AstraZeneca share price: Acerta deal pays off with orphan drug status,0.495
"BHP Billiton posts big loss, slashes dividend",-0.938
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,0.136
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",0.1
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,-0.271
BHP Billiton drags FTSE lower after slashing dividend,-0.604
"BHP Billiton slashes dividend, posts $5.67 billion net loss",-0.341
CompaniesMeggitt profits hit by weak energy and military markets,-0.302
Royal Mail share price edges lower as group raises stamp price,-0.269
GlaxoSmithKline starts hunt for successor to CEO Witty,0
"Rio Tinto swings to loss, drops dividend policy",-0.511
France raises concerns over proposed LSE-Deutsche Boerse deal,-0.347
MarketsBP promotes upstream boss to deputy CEO,0.066
Legal & General share price: Finance chief to step down,-0.166
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,-0.092
Arm profits and sales up as shift away from mobile gains pace,0.497
Barclays appoints JPMorgan's Paul Compton as new COO,0.036
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",-0.238
NYSE owner ICE considers offer for LSE,0.396
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0.226
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),0.413
Intertek swings to Â£347 mln loss on oil's slump,-0.734
Sanofi poaches AstraZeneca scientist as new research head,0.066
Tesco breaks its downward slide by cutting sales decline in half,0.172
"News FeedSchroders books solid earnings growth, several board changes",0.5
Intertek Group announces strategic update outlining its plan,0.046
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,0.327
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,-0.2
AB InBev to Sell SABMiller Stake in China's Snow Beer,-0.045
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,0.105
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,0.066
Industry NewsWolseley confident in reslilience amid mixed markets,0.287
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,-0.498
FTSE edges up as investors cheer Kingfisher results,0.678
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,0.261
Britain's FTSE gets lift from Prudential results,0.582
Amazon's grocery deal with Morrisons is only the beginning,0.389
ICE Said to Start Lining Up Financing for LSE Bidding War,0.328
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",-0.242
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,0.358
Aviva weighs cash handout after beating profit forecast,0.377
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",0.555
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",-0.142
AB InBev to sell more SAB assets as seeks EU deal approval,-0.079
Tesco's Sales Pickup Isn't Enough,-0.23
Spain's CaixaBank Expects To Close Deal For Banco BPI,0.375
ITV share price: Group mulls takeover of Canada's Entertainment One,0.422
Entertainment One dispels ITV takeover rumours,0.138
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,0.213
Tata Steel working with StanChart for UK unit sale - source,0.218
Crown Castle buys Tower Development Corp for $461 million,0.366
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,-0.038
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",0.244
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",0.243
Spain's Caixabank launches new takeover bid for Banco BPI,0.185
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",-0.077
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,0.199
Shire Sees Baxalta Deal Closing as Expected After New Rules,0.224
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",0.257
Tesco share price steady as analysts weigh in on results,0.052
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,0.292
Should You Follow Berkshire Hathaway Into Apple Stock?,0
Morrisons book second consecutive quarter of sales growth,0.43
Royal Mail gets mixed bag from Ofcom postal regulation report,-0.084
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,-0.34
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",0.392
Retail giant Kingfisher reports 'solid' start to the year,0.368
"Berkshire discloses unit's ties to Iran, opens probe",-0.288
Berkshire Hathaway names Kara Raiguel to lead General Re unit,0.077
"European stocks hover near 3-week low, Dialog and BHP slump",-0.584
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,0.571
Australia clears AB Inbev's $100 billion SABMiller buyout plan,0.437
Goodwin not to face Scottish prosecution over RBS,0.114
Royal Mail turnaround proving expensive in tough UK market,-0.057
Whitbread buys 49% stake in Pure food chain,0.365
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",0.128
Royal Mail share price rallies amid positive broker comments,0.59
InterContinental Hotels first-quarter global room revenue lags estimates,-0.329
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,0.395
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,-0.421
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,0
BP joins forces with Det Norske in Norway,0.248
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0.252
Johnson Matthey revs up on clean air drive,0.224
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,0.207
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,-0.473
Tesco sales recover as focus returns to core business,0.35
Johnson Matthey profit falls but dividend rises,0
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",0
Priceline's stock jumps to new high for the year after Barclays upgrade,0.847
"Tesco set to sell Kipa, Giraffe businesses - Sky News",-0.192
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,0.259
HSBC Says Unit to Book $585 Million Charge on Settlement,-0.434
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",0.427
Aviva promises higher dividends to boost flagging share price,0.281
CompaniesFresnillo shares jump 8% as silver price breaks $21,0.874
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",0.14
Berkshire seeks to boost its Wells Fargo stake above 10 percent,0.429
Tesco share price tumbles after negative broker note,-0.779
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,0.406
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,0.432
Berkshire applies to boost Wells Fargo stake above 10 percent,0.484
"Aviva, M&G suspend property funds as investors panic",-0.807
"UK housing market steadies after Brexit dip, Persimmon says",0.339
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,0.439
Builder Persimmon hails 6% rise in house sales,0.435
EasyJet attracts more passengers in June but still lags Ryanair,0.259
