date,desc_sentence,desc_logit,desc_prediction,desc_sentiment_score,title_sentence,title_logit,title_prediction,title_sentiment_score,sentence
2020-12-22,The XRP price correction is exacerbated by reports of a looming lawsuit against Ripple.,[0.01424594 0.9723203  0.0134337 ],negative,-0.9580744,XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌,[0.01487879 0.87420297 0.11091823],negative,-0.85932416,XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌. The XRP price correction is exacerbated by reports of a looming lawsuit against Ripple.
2020-12-22,"Despite the company's protestations, it appears the SEC is the latest in a long line of plaintiffs.",[0.08065656 0.5716752  0.34766823],negative,-0.49101862,SEC set to sue Ripple with XRP in the crosshairs,[0.03014354 0.48018968 0.4896668 ],neutral,-0.45004615,"SEC set to sue Ripple with XRP in the crosshairs. Despite the company's protestations, it appears the SEC is the latest in a long line of plaintiffs."
2020-12-15,"Despite the snapshot on Dec. 12 for the upcoming FLR airdrop event, XRP’s value has not gained much ground, staying put at around $0.50.",[0.6946941  0.10099981 0.20430611],positive,0.59369427,XRP price still stagnant despite incoming Flare Network airdrop,[0.07137986 0.8330668  0.09555338],negative,-0.761687,"XRP price still stagnant despite incoming Flare Network airdrop. Despite the snapshot on Dec. 12 for the upcoming FLR airdrop event, XRP’s value has not gained much ground, staying put at around $0.50."
2020-12-14,"XRP price fails to sustain momentum and slides below $0.50 despite BTC recovering above $19,000.",[0.01547606 0.96363187 0.02089214],negative,-0.9481558,XRP price drops 13% since Flare Network airdrop — But the bottom may be close,[0.01602406 0.95619667 0.02777939],negative,-0.9401726,"XRP price drops 13% since Flare Network airdrop — But the bottom may be close. XRP price fails to sustain momentum and slides below $0.50 despite BTC recovering above $19,000."
2020-12-11,"The $1 price mark remains a psychological barrier for XRP, with the third-ranked crypto by market capitalization still 85% off its all-time high price.",[0.03707932 0.94320333 0.01971737],negative,-0.906124,XRP price action imminent? A closer look at the market’s #3 crypto,[0.05890048 0.0209005  0.92019904],neutral,0.03799998,"XRP price action imminent? A closer look at the market’s #3 crypto. The $1 price mark remains a psychological barrier for XRP, with the third-ranked crypto by market capitalization still 85% off its all-time high price."
2020-12-09,"As Bitcoin dropped below $18,000, major altcoins including XRP and DeFi tokens fell by 10% to 30%.",[0.00992027 0.9740148  0.01606492],negative,-0.9640945,"Why XRP, DeFi tokens crashed the most vs. BTC as Bitcoin price corrects",[0.4221889  0.5246222  0.05318886],negative,-0.102433294,"Why XRP, DeFi tokens crashed the most vs. BTC as Bitcoin price corrects. As Bitcoin dropped below $18,000, major altcoins including XRP and DeFi tokens fell by 10% to 30%."
2020-12-05,XRP has broken out of a multi-year bear market but old resistance zones must now flip to new support for the rally to continue.,[0.8879525  0.01517593 0.09687153],positive,0.87277657,XRP price: Will the Flare Network airdrop trigger a rally to $1.00?,[0.4521784  0.03671626 0.51110536],neutral,0.41546214,XRP price: Will the Flare Network airdrop trigger a rally to $1.00?. XRP has broken out of a multi-year bear market but old resistance zones must now flip to new support for the rally to continue.
2020-12-05,"Ripple's partnership with MoneyGram may not be as warm as it once was, but it's paying off.",[0.8800913  0.01311505 0.10679369],positive,0.86697626,Ripple has sold $15M of its stock in MoneyGram,[0.02186191 0.05531161 0.92282647],neutral,-0.033449702,"Ripple has sold $15M of its stock in MoneyGram. Ripple's partnership with MoneyGram may not be as warm as it once was, but it's paying off."
2020-12-04,"Ripple could be forced to burn its entire XRP holdings if the community votes for it, the company’s CTO David Schwartz has confirmed.",[0.0129912  0.7595638  0.22744495],negative,-0.7465726,Ripple CTO says community could force the company to burn 48 billion XRP,[0.01236347 0.8624683  0.12516819],negative,-0.8501048,"Ripple CTO says community could force the company to burn 48 billion XRP. Ripple could be forced to burn its entire XRP holdings if the community votes for it, the company’s CTO David Schwartz has confirmed."
2020-12-03,Potential customers in the U.S. are apparently holding off from using Ripple’s XRP-related services due to regulatory uncertainty.,[0.0099753  0.9518572  0.03816752],negative,-0.9418819,"95% of Ripple’s customers are not from the US, CEO Garlinghouse says",[0.03935308 0.01560941 0.9450375 ],neutral,0.023743667,"95% of Ripple’s customers are not from the US, CEO Garlinghouse says. Potential customers in the U.S. are apparently holding off from using Ripple’s XRP-related services due to regulatory uncertainty."
2020-12-02,"XRP saw a 1,151% surge in trading volume on eToro as its price nearly tripled last month.",[0.9493683  0.01802844 0.03260321],positive,0.93133986,"Ripple’s XRP sees explosive 1,151% trading volume spike in November",[0.9431648  0.02507342 0.03176166],positive,0.9180914,"Ripple’s XRP sees explosive 1,151% trading volume spike in November. XRP saw a 1,151% surge in trading volume on eToro as its price nearly tripled last month."
2020-12-01,XRP price must break a key resistance level before $1.00 becomes a real possibility.,[0.71955955 0.08557144 0.19486903],positive,0.63398814,"XRP price now eyeing $1.00 after key support level holds, BTC price soars",[0.89544487 0.05371598 0.05083913],positive,0.84172887,"XRP price now eyeing $1.00 after key support level holds, BTC price soars. XRP price must break a key resistance level before $1.00 becomes a real possibility."
2020-11-27,"The CEO thinks his company will be just fine, even in this hypothetical scenario.",[0.77822524 0.01358892 0.20818588],positive,0.76463634,Garlinghouse: Ripple would still thrive even if XRP were declared a security,[0.81080365 0.00661814 0.18257813],positive,0.8041855,"Garlinghouse: Ripple would still thrive even if XRP were declared a security. The CEO thinks his company will be just fine, even in this hypothetical scenario."
2020-11-26,Bitcoin and most major altcoins could consolidate for a few days before starting the next big move.,[0.04838684 0.0721857  0.8794275 ],neutral,-0.023798864,"Price analysis 11/25: BTC, ETH, XRP, BCH, LINK, LTC, ADA, DOT, BNB, XLM",[0.02814199 0.01931455 0.95254344],neutral,0.008827446,"Price analysis 11/25: BTC, ETH, XRP, BCH, LINK, LTC, ADA, DOT, BNB, XLM. Bitcoin and most major altcoins could consolidate for a few days before starting the next big move."
2020-11-25,"Bitcoin topping $19,400, altcoins rallying by triple digits and the Dow setting an all-time high at 30,000 show bulls are running all corners of every market.",[0.1546636 0.0452363 0.8001001],neutral,0.109427296,"Bitcoin price, altcoins and the Dow set record highs as bulls run the market",[0.30151224 0.06392936 0.6345584 ],neutral,0.23758288,"Bitcoin price, altcoins and the Dow set record highs as bulls run the market. Bitcoin topping $19,400, altcoins rallying by triple digits and the Dow setting an all-time high at 30,000 show bulls are running all corners of every market."
2020-11-24,"XRP, Stellar and Cardano are some of the cryptocurrencies spearheading the rally as traders herald ""alt season.""",[0.13011949 0.01962987 0.85025066],neutral,0.11048962,These 5 altcoins are beating every major cryptocurrency this week,[0.90422153 0.01389444 0.08188396],positive,0.8903271,"These 5 altcoins are beating every major cryptocurrency this week. XRP, Stellar and Cardano are some of the cryptocurrencies spearheading the rally as traders herald ""alt season."""
2020-11-24,"Bitcoin reached $19,000 quickly after it plunged to $18,000 following an XRP flash crash on Coinbase.",[0.6096845  0.32552764 0.06478787],positive,0.2841569,Bitcoin price now eyeing $20K after XRP shocked the crypto market,[0.23315065 0.5269497  0.2398996 ],negative,-0.29379904,"Bitcoin price now eyeing $20K after XRP shocked the crypto market. Bitcoin reached $19,000 quickly after it plunged to $18,000 following an XRP flash crash on Coinbase."
2020-11-24,"The price of XRP soared to as high as $0.92 in mere minutes on Coinbase, only to crash by 30% immediately after.",[0.30212325 0.6135081  0.08436865],negative,-0.31138486,"XRP price spikes to $0.90, crashes in seconds as Coinbase goes down",[0.04298128 0.79708946 0.15992919],negative,-0.7541082,"XRP price spikes to $0.90, crashes in seconds as Coinbase goes down. The price of XRP soared to as high as $0.92 in mere minutes on Coinbase, only to crash by 30% immediately after."
2020-11-24,XRP price rallied 91% in the past month and data shows these three fundamental factors may be behind the break above the current multi-year range.,[0.61761165 0.12083365 0.26155463],positive,0.496778,XRP price rallies 91% in a month due to 3 fundamental factors,[0.32470897 0.6298122  0.04547888],negative,-0.3051032,XRP price rallies 91% in a month due to 3 fundamental factors. XRP price rallied 91% in the past month and data shows these three fundamental factors may be behind the break above the current multi-year range.
2020-11-24,XRP has almost doubled its value over the past week.,[0.9208906  0.01490949 0.06419992],positive,0.9059811,XRP shot up 20% today… on old news?,[0.950503   0.0154003  0.03409676],positive,0.9351027,XRP shot up 20% today… on old news?. XRP has almost doubled its value over the past week.
2020-11-23,Ripple is looking to define its strategy regarding central bank digital currencies.,[0.077057   0.01124931 0.91169375],neutral,0.06580769,Ripple seeks director to engage with central banks on digital currency,[0.4366595  0.00799882 0.5553417 ],neutral,0.42866066,Ripple seeks director to engage with central banks on digital currency. Ripple is looking to define its strategy regarding central bank digital currencies.
2020-11-22,XRP price has been the best performer thus far this weekend gaining over 50% in the past week.,[0.95343447 0.01888311 0.02768244],positive,0.93455136,XRP price soars 50% in one week to new yearly high — Watch these levels next,[0.7259822  0.02066574 0.25335214],positive,0.7053164,XRP price soars 50% in one week to new yearly high — Watch these levels next. XRP price has been the best performer thus far this weekend gaining over 50% in the past week.
2020-11-20,He clarified that Ripple isn’t trying to compete with Bitcoin during a podcast appearance.,[0.07495399 0.0152263  0.9098197 ],neutral,0.059727687,Ripple’s Brad Garlinghouse wants Bitcoin to succeed after all,[0.3177     0.00810167 0.6741983 ],neutral,0.30959833,Ripple’s Brad Garlinghouse wants Bitcoin to succeed after all. He clarified that Ripple isn’t trying to compete with Bitcoin during a podcast appearance.
2020-11-13,Ripple’s new filing with the USPTO is for the trademark “PayString.”,[0.02311164 0.11672534 0.860163  ],neutral,-0.0936137,Ripple files for yet another new trademark in the US,[0.04650121 0.4551431  0.4983557 ],neutral,-0.40864187,Ripple files for yet another new trademark in the US. Ripple’s new filing with the USPTO is for the trademark “PayString.”
2020-11-13,"Bitcoin’s explosive gains are strongly reflected by the number of days it has closed above $16,320.",[0.94942236 0.02195534 0.02862232],positive,0.927467,The Bitcoin price has only been higher than now for 12 days in its history,[0.40235788 0.03970793 0.5579342 ],neutral,0.36264995,"The Bitcoin price has only been higher than now for 12 days in its history. Bitcoin’s explosive gains are strongly reflected by the number of days it has closed above $16,320."
2020-11-11,Could XRP’s regulatory status be finally settled one day?,[0.05795781 0.02575949 0.91628265],neutral,0.032198317,"SEC should declare XRP a security, says Peter Brandt",[0.1102907  0.01357196 0.8761373 ],neutral,0.096718736,"SEC should declare XRP a security, says Peter Brandt. Could XRP’s regulatory status be finally settled one day?"
2020-11-06,"After a major leak of email and personal information earlier this year, Ledger customers are experiencing a surge in phishing attempts.",[0.01088654 0.9557678  0.03334564],negative,-0.94488126,Ledger owners lose 1.1 million XRP to scam site,[0.00985528 0.95643324 0.03371153],negative,-0.94657797,"Ledger owners lose 1.1 million XRP to scam site. After a major leak of email and personal information earlier this year, Ledger customers are experiencing a surge in phishing attempts."
2020-11-03,"Bitcoin is facing selling at the $14,000 mark and this has resulted in several cryptocurrencies dropping below their support levels.",[0.00790409 0.9736984  0.01839758],negative,-0.96579427,"Price analysis 11/2: BTC, ETH, XRP, BCH, LINK, BNB, LTC, DOT, BSV, ADA",[0.02930098 0.01949565 0.95120335],neutral,0.009805333,"Price analysis 11/2: BTC, ETH, XRP, BCH, LINK, BNB, LTC, DOT, BSV, ADA. Bitcoin is facing selling at the $14,000 mark and this has resulted in several cryptocurrencies dropping below their support levels."
2020-11-02,"Community expectations have long been that banks would adopt XRP, but the reality has been disappointing",[0.10371645 0.27945593 0.61682767],neutral,-0.17573948,Ripple CTO tries to offer answers for lack of adoption,[0.07739212 0.0646097  0.8579982 ],neutral,0.012782425,"Ripple CTO tries to offer answers for lack of adoption. Community expectations have long been that banks would adopt XRP, but the reality has been disappointing"
2020-10-21,"The long-awaited “flippening” of fiat at PayPal will begin next year, as Bitcoin price action offers almost 5% daily gains.",[0.9147505  0.01074393 0.07450556],positive,0.9040066,Bitcoin breaks above $12.3K after PayPal says Venmo will become a BTC wallet,[0.6549416  0.05109224 0.2939662 ],positive,0.60384935,"Bitcoin breaks above $12.3K after PayPal says Venmo will become a BTC wallet. The long-awaited “flippening” of fiat at PayPal will begin next year, as Bitcoin price action offers almost 5% daily gains."
2020-10-16,Ripple continues its effort to bring financial inclusion to struggling markets.,[0.7905631  0.01224388 0.19719306],positive,0.77831924,Ripple donates $10M to Mercy Corps during annual Swell conference,[0.18793339 0.01222807 0.7998386 ],neutral,0.17570531,Ripple donates $10M to Mercy Corps during annual Swell conference. Ripple continues its effort to bring financial inclusion to struggling markets.
2020-10-15,"Bitcoin and most major altcoins are sustaining above their immediate support levels, increasing the possibility that the uptrend will resume.",[0.55491465 0.42030752 0.02477785],positive,0.13460714,"Price analysis 10/14: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, BSV",[0.02740199 0.02002836 0.9525696 ],neutral,0.0073736235,"Price analysis 10/14: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, BSV. Bitcoin and most major altcoins are sustaining above their immediate support levels, increasing the possibility that the uptrend will resume."
2020-10-13,"Ripple’s David Schwartz has revealed that he sold 40,000 Ether at $1 each.",[0.05545585 0.0169287  0.9276154 ],neutral,0.038527153,"Regrets — Ripple’s CTO sold 40,000 Ether for just $1 each",[0.02171741 0.0469061  0.93137646],neutral,-0.025188686,"Regrets — Ripple’s CTO sold 40,000 Ether for just $1 each. Ripple’s David Schwartz has revealed that he sold 40,000 Ether at $1 each."
2020-10-13,"Bitcoin’s strength above the $11,500 multi-year resistance is also pulling many altcoin prices higher.",[0.19239506 0.7734142  0.03419073],negative,-0.58101916,"Price analysis 10/12: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, CRO",[0.02511567 0.02136706 0.95351726],neutral,0.0037486125,"Price analysis 10/12: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, CRO. Bitcoin’s strength above the $11,500 multi-year resistance is also pulling many altcoin prices higher."
2020-10-12,Bitcoin price could achieve a new 2020 high if bulls hold the price above the key multi-year resistance at $11.5K.,[0.9220484  0.0145915  0.06336005],positive,0.9074569,"Top 5 cryptocurrencies to watch this week: BTC, XRP, ADA, XMR, ATOM",[0.04942576 0.01756283 0.93301135],neutral,0.03186293,"Top 5 cryptocurrencies to watch this week: BTC, XRP, ADA, XMR, ATOM. Bitcoin price could achieve a new 2020 high if bulls hold the price above the key multi-year resistance at $11.5K."
2020-10-10,"Bitcoin and select altcoins have broken out of their bullish setups, hinting that further upside could occur through the weekend.",[0.80103165 0.16982006 0.02914828],positive,0.6312116,"Price analysis 10/9: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, LTC, BSV",[0.02512196 0.02297289 0.95190513],neutral,0.0021490678,"Price analysis 10/9: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, LTC, BSV. Bitcoin and select altcoins have broken out of their bullish setups, hinting that further upside could occur through the weekend."
2020-10-09,"The DoJ’s guidance around cryptocurrency enforcement, that cites ""crime"" and ""criminals"" 168 times, has been poorly received.",[0.00897602 0.9520056  0.03901844],negative,-0.9430296,Community reacts to new DoJ crypto enforcement guidelines,[0.0882079  0.07108409 0.840708  ],neutral,0.017123811,"Community reacts to new DoJ crypto enforcement guidelines. The DoJ’s guidance around cryptocurrency enforcement, that cites ""crime"" and ""criminals"" 168 times, has been poorly received."
2020-10-08,Bitcoin and altcoins could remain range-bound for a few days as traders search for triggers that will start the next trending move.,[0.04167843 0.5530398  0.40528178],negative,-0.51136136,"Price analysis 10/7: BTC, ETH, XRP, BCH, BNB, DOT, LINK, LTC, CRO, BSV",[0.02503676 0.02312781 0.9518355 ],neutral,0.0019089412,"Price analysis 10/7: BTC, ETH, XRP, BCH, BNB, DOT, LINK, LTC, CRO, BSV. Bitcoin and altcoins could remain range-bound for a few days as traders search for triggers that will start the next trending move."
2020-10-07,Ripple’s executive chairman has slammed U.S. lawmakers for losing the blockchain arms race to China,[0.02111069 0.9160173  0.062872  ],negative,-0.8949066,US is losing 'tech cold war with China' says Ripple co-founder,[0.02159092 0.93933964 0.03906943],negative,-0.91774875,US is losing 'tech cold war with China' says Ripple co-founder. Ripple’s executive chairman has slammed U.S. lawmakers for losing the blockchain arms race to China
2020-10-06,Traders are attempting to kickstart a new trending move in Bitcoin and altcoins by attacking overhead resistance levels.,[0.21590364 0.58496505 0.19913132],negative,-0.3690614,"Price analysis 10/5: BTC, ETH, XRP, BNB, BCH, DOT, LINK, CRO, LTC, ADA",[0.02592908 0.02199517 0.9520757 ],neutral,0.003933916,"Price analysis 10/5: BTC, ETH, XRP, BNB, BCH, DOT, LINK, CRO, LTC, ADA. Traders are attempting to kickstart a new trending move in Bitcoin and altcoins by attacking overhead resistance levels."
2020-10-03,"A new blockchain platform aims to get decentralized networks to decarbonize, but challenges remain, due to uncertainty around tokenization",[0.20811628 0.29111788 0.50076586],neutral,-0.0830016,"XRP Ledger blockchain energizes decarbonization, but tokenization a challenge",[0.12343042 0.01133668 0.86523294],neutral,0.11209375,"XRP Ledger blockchain energizes decarbonization, but tokenization a challenge. A new blockchain platform aims to get decentralized networks to decarbonize, but challenges remain, due to uncertainty around tokenization"
2020-10-03,"The bulls are buying the dips in Bitcoin and a few altcoins, suggesting that investor sentiment remains positive.",[0.9226029  0.04111368 0.03628349],positive,0.8814892,"Price analysis 10/2: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, BSV, LTC",[0.02591349 0.02174252 0.952344  ],neutral,0.0041709673,"Price analysis 10/2: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, BSV, LTC. The bulls are buying the dips in Bitcoin and a few altcoins, suggesting that investor sentiment remains positive."
2020-10-01,"Will this ultimately prove to be a significant step for mainstream adoption, or a publicity stunt?",[0.1219012  0.01414552 0.8639533 ],neutral,0.107755676,Japanese esports company to pay its players in XRP,[0.08527456 0.02382324 0.8909022 ],neutral,0.06145132,"Japanese esports company to pay its players in XRP. Will this ultimately prove to be a significant step for mainstream adoption, or a publicity stunt?"
2020-10-01,"Bitcoin and a few altcoins continue to push against resistance at higher levels, suggesting that the uptrend may resume soon.",[0.92344725 0.04815478 0.02839796],positive,0.8752925,"Price analysis 9/30: BTC, ETH, XRP, BCH, BNB, DOT, LINK, BSV, CRO, ADA",[0.02782927 0.01944784 0.9527229 ],neutral,0.008381426,"Price analysis 9/30: BTC, ETH, XRP, BCH, BNB, DOT, LINK, BSV, CRO, ADA. Bitcoin and a few altcoins continue to push against resistance at higher levels, suggesting that the uptrend may resume soon."
2020-09-29,"Bitcoin and altcoins may hit a few roadblocks in the short-term as they near stiff overhead resistance levels, but the overall trajectory remains bullish.",[0.8431397  0.13006675 0.02679349],positive,0.71307296,"Price analysis 9/28: BTC, ETH, XRP, BCH, BNB, DOT, LINK, ADA, BSV, CRO",[0.02780971 0.01932842 0.95286185],neutral,0.00848129,"Price analysis 9/28: BTC, ETH, XRP, BCH, BNB, DOT, LINK, ADA, BSV, CRO. Bitcoin and altcoins may hit a few roadblocks in the short-term as they near stiff overhead resistance levels, but the overall trajectory remains bullish."
2020-09-26,"Bitcoin and altcoins rebounded off their critical support levels, possibly creating a path to a new bullish uptrend.",[0.94126654 0.03396165 0.02477174],positive,0.9073049,"Price analysis 9/25: BTC, ETH, XRP, BCH, DOT, LINK, BNB, CRO, LTC, BSV",[0.02753715 0.02077859 0.9516843 ],neutral,0.0067585595,"Price analysis 9/25: BTC, ETH, XRP, BCH, DOT, LINK, BNB, CRO, LTC, BSV. Bitcoin and altcoins rebounded off their critical support levels, possibly creating a path to a new bullish uptrend."
2020-09-24,"Tech billionaire, Tim Draper, has revealed he owns a myriad of altcoins in addition to his 30,000 BTC.",[0.03957361 0.01833438 0.94209206],neutral,0.021239229,Bitcoin bull Tim Draper reveals the secrets of his altcoin portfolio,[0.04422057 0.02805762 0.9277218 ],neutral,0.016162949,"Bitcoin bull Tim Draper reveals the secrets of his altcoin portfolio. Tech billionaire, Tim Draper, has revealed he owns a myriad of altcoins in addition to his 30,000 BTC."
2020-09-24,Bitcoin and altcoins are at risk of a deeper correction if they do not rise above their immediate resistance levels soon.,[0.0155     0.9547486  0.02975148],negative,-0.93924856,"Price analysis 9/23: BTC, ETH, XRP, BCH, DOT, BNB, CRO, LTC, LINK, BSV",[0.02793116 0.02065206 0.95141685],neutral,0.007279098,"Price analysis 9/23: BTC, ETH, XRP, BCH, DOT, BNB, CRO, LTC, LINK, BSV. Bitcoin and altcoins are at risk of a deeper correction if they do not rise above their immediate resistance levels soon."
